sample,latency_ns,latency_cycles,poll_iterations
390,7320.0,366.00,1
391,7320.0,366.00,1
392,7320.0,366.00,1
393,7320.0,366.00,1
394,7320.0,366.00,1
395,7320.0,366.00,1
396,7320.0,366.00,1
397,7320.0,366.00,1
398,7320.0,366.00,1
399,7320.0,366.00,1
400,7320.0,366.00,1
401,7320.0,366.00,1
402,7320.0,366.00,1
403,7320.0,366.00,1
404,7320.0,366.00,1
405,7320.0,366.00,1
406,7320.0,366.00,1
407,7320.0,366.00,1
408,7320.0,366.00,1
409,7320.0,366.00,1
410,7320.0,366.00,1
411,7320.0,366.00,1
412,7320.0,366.00,1
413,7320.0,366.00,1
414,7320.0,366.00,1
415,7320.0,366.00,1
416,7320.0,366.00,1
417,7320.0,366.00,1
418,7320.0,366.00,1
419,7320.0,366.00,1
420,7320.0,366.00,1
421,7320.0,366.00,1
422,7320.0,366.00,1
423,7320.0,366.00,1
424,7320.0,366.00,1
425,7320.0,366.00,1
426,7320.0,366.00,1
427,7320.0,366.00,1
428,7320.0,366.00,1
429,7320.0,366.00,1
430,7320.0,366.00,1
431,7320.0,366.00,1
432,7320.0,366.00,1
433,7320.0,366.00,1
434,7320.0,366.00,1
435,7320.0,366.00,1
436,7320.0,366.00,1
437,7320.0,366.00,1
438,7320.0,366.00,1
439,7320.0,366.00,1
440,7320.0,366.00,1
441,7320.0,366.00,1
442,7320.0,366.00,1
443,7320.0,366.00,1
444,7320.0,366.00,1
445,7320.0,366.00,1
446,7320.0,366.00,1
447,7320.0,366.00,1
448,7320.0,366.00,1
449,7320.0,366.00,1
450,7320.0,366.00,1
451,7320.0,366.00,1
452,7320.0,366.00,1
453,7320.0,366.00,1
454,7320.0,366.00,1
455,7320.0,366.00,1
456,7320.0,366.00,1
457,7320.0,366.00,1
458,7320.0,366.00,1
459,7320.0,366.00,1
460,7320.0,366.00,1
461,7320.0,366.00,1
462,7320.0,366.00,1
463,7320.0,366.00,1
464,7400.0,370.00,1
465,7370.0,368.50,1
466,7320.0,366.00,1
467,7320.0,366.00,1
468,7320.0,366.00,1
469,7320.0,366.00,1
470,7320.0,366.00,1
471,7320.0,366.00,1
472,7320.0,366.00,1
473,7320.0,366.00,1
474,7320.0,366.00,1
475,7320.0,366.00,1
476,7320.0,366.00,1
477,7320.0,366.00,1
478,7320.0,366.00,1
479,7320.0,366.00,1
480,7320.0,366.00,1
481,7320.0,366.00,1
482,7320.0,366.00,1
483,7320.0,366.00,1
484,7320.0,366.00,1
485,7320.0,366.00,1
486,7320.0,366.00,1
487,7320.0,366.00,1
488,7320.0,366.00,1
489,7320.0,366.00,1
490,7320.0,366.00,1
491,7320.0,366.00,1
492,7320.0,366.00,1
493,7320.0,366.00,1
494,7320.0,366.00,1
495,7320.0,366.00,1
496,68960.0,3448.00,1
497,7330.0,366.50,1
498,7340.0,367.00,1
499,7340.0,367.00,1
500,7320.0,366.00,1
501,7320.0,366.00,1
502,7320.0,366.00,1
503,7320.0,366.00,1
504,7330.0,366.50,1
505,7320.0,366.00,1
506,7320.0,366.00,1
507,7320.0,366.00,1
508,7320.0,366.00,1
509,7320.0,366.00,1
510,7320.0,366.00,1
511,7320.0,366.00,1
512,7320.0,366.00,1
513,7320.0,366.00,1
514,7320.0,366.00,1
515,7320.0,366.00,1
516,7320.0,366.00,1
517,7320.0,366.00,1
518,7320.0,366.00,1
519,7320.0,366.00,1
520,7320.0,366.00,1
521,7320.0,366.00,1
522,7320.0,366.00,1
523,7320.0,366.00,1
524,7320.0,366.00,1
525,7320.0,366.00,1
526,7320.0,366.00,1
527,7320.0,366.00,1
528,7320.0,366.00,1
529,7320.0,366.00,1
530,7320.0,366.00,1
531,7320.0,366.00,1
532,7320.0,366.00,1
533,7320.0,366.00,1
534,7320.0,366.00,1
535,7320.0,366.00,1
536,7320.0,366.00,1
537,7320.0,366.00,1
538,7320.0,366.00,1
539,7320.0,366.00,1
540,7320.0,366.00,1
541,7320.0,366.00,1
542,7320.0,366.00,1
543,7320.0,366.00,1
544,7320.0,366.00,1
545,7320.0,366.00,1
546,7320.0,366.00,1
547,7320.0,366.00,1
548,7320.0,366.00,1
549,7320.0,366.00,1
550,7320.0,366.00,1
551,7320.0,366.00,1
552,7320.0,366.00,1
553,7320.0,366.00,1
554,7320.0,366.00,1
555,7320.0,366.00,1
556,7320.0,366.00,1
557,7320.0,366.00,1
558,7320.0,366.00,1
559,7320.0,366.00,1
560,7320.0,366.00,1
561,7320.0,366.00,1
562,7320.0,366.00,1
