sample,latency_ns,latency_cycles,total_poll_iterations
221,37420.0,1871.00,3
222,37420.0,1871.00,3
223,37420.0,1871.00,3
224,37420.0,1871.00,3
225,37420.0,1871.00,3
226,37420.0,1871.00,3
227,37420.0,1871.00,3
228,37420.0,1871.00,3
229,37420.0,1871.00,3
230,37420.0,1871.00,3
231,37420.0,1871.00,3
232,37420.0,1871.00,3
233,37420.0,1871.00,3
234,37420.0,1871.00,3
235,37420.0,1871.00,3
236,37420.0,1871.00,3
237,37420.0,1871.00,3
238,37420.0,1871.00,3
239,37420.0,1871.00,3
240,37420.0,1871.00,3
241,37420.0,1871.00,3
242,37420.0,1871.00,3
243,37420.0,1871.00,3
244,37420.0,1871.00,3
245,37420.0,1871.00,3
246,37420.0,1871.00,3
247,37420.0,1871.00,3
248,37420.0,1871.00,3
249,37420.0,1871.00,3
250,37420.0,1871.00,3
251,37420.0,1871.00,3
252,37420.0,1871.00,3
253,37420.0,1871.00,3
254,37420.0,1871.00,3
255,37420.0,1871.00,3
256,69160.0,3458.00,3
257,37420.0,1871.00,3
258,37420.0,1871.00,3
259,37420.0,1871.00,3
260,37420.0,1871.00,3
261,37420.0,1871.00,3
262,37420.0,1871.00,3
263,37420.0,1871.00,3
264,37420.0,1871.00,3
265,37420.0,1871.00,3
266,37420.0,1871.00,3
267,37420.0,1871.00,3
268,37420.0,1871.00,3
269,37420.0,1871.00,3
270,37420.0,1871.00,3
271,37420.0,1871.00,3
272,37420.0,1871.00,3
273,37420.0,1871.00,3
274,37420.0,1871.00,3
275,37420.0,1871.00,3
276,37420.0,1871.00,3
277,37420.0,1871.00,3
278,37420.0,1871.00,3
279,37420.0,1871.00,3
280,37420.0,1871.00,3
281,37420.0,1871.00,3
282,37420.0,1871.00,3
283,37420.0,1871.00,3
284,37420.0,1871.00,3
285,37420.0,1871.00,3
286,37420.0,1871.00,3
287,37420.0,1871.00,3
288,37420.0,1871.00,3
289,37420.0,1871.00,3
290,37420.0,1871.00,3
291,37420.0,1871.00,3
292,37420.0,1871.00,3
293,37420.0,1871.00,3
294,37420.0,1871.00,3
295,37420.0,1871.00,3
296,37420.0,1871.00,3
297,37420.0,1871.00,3
298,37420.0,1871.00,3
299,37420.0,1871.00,3
300,37420.0,1871.00,3
301,37420.0,1871.00,3
302,37420.0,1871.00,3
303,37420.0,1871.00,3
304,37420.0,1871.00,3
305,37420.0,1871.00,3
306,37420.0,1871.00,3
307,37420.0,1871.00,3
308,37420.0,1871.00,3
309,37420.0,1871.00,3
310,37420.0,1871.00,3
311,37420.0,1871.00,3
312,37420.0,1871.00,3
313,37420.0,1871.00,3
314,37420.0,1871.00,3
315,37420.0,1871.00,3
316,37420.0,1871.00,3
317,37420.0,1871.00,3
318,37420.0,1871.00,3
319,37420.0,1871.00,3
320,37420.0,1871.00,3
321,37420.0,1871.00,3
322,37420.0,1871.00,3
323,37420.0,1871.00,3
324,37420.0,1871.00,3
325,37420.0,1871.00,3
326,37420.0,1871.00,3
327,37420.0,1871.00,3
328,37420.0,1871.00,3
329,37420.0,1871.00,3
330,37420.0,1871.00,3
331,37420.0,1871.00,3
332,37420.0,1871.00,3
333,37420.0,1871.00,3
334,37420.0,1871.00,3
335,37420.0,1871.00,3
336,37420.0,1871.00,3
337,37420.0,1871.00,3
338,37420.0,1871.00,3
339,37420.0,1871.00,3
340,37420.0,1871.00,3
341,37420.0,1871.00,3
342,37420.0,1871.00,3
343,37420.0,1871.00,3
344,37420.0,1871.00,3
345,37420.0,1871.00,3
346,37420.0,1871.00,3
347,37420.0,1871.00,3
348,37420.0,1871.00,3
349,37420.0,1871.00,3
350,37420.0,1871.00,3
351,37420.0,1871.00,3
352,37420.0,1871.00,3
353,37420.0,1871.00,3
354,37420.0,1871.00,3
355,37420.0,1871.00,3
356,37420.0,1871.00,3
357,37420.0,1871.00,3
358,37420.0,1871.00,3
359,37420.0,1871.00,3
360,37420.0,1871.00,3
361,37420.0,1871.00,3
362,37420.0,1871.00,3
363,37420.0,1871.00,3
364,37420.0,1871.00,3
365,37420.0,1871.00,3
366,37420.0,1871.00,3
367,37420.0,1871.00,3
368,37420.0,1871.00,3
369,37420.0,1871.00,3
370,37420.0,1871.00,3
371,37420.0,1871.00,3
372,37420.0,1871.00,3
373,37420.0,1871.00,3
374,37420.0,1871.00,3
375,53110.0,2655.50,3
376,37460.0,1873.00,3
377,37420.0,1871.00,3
378,37420.0,1871.00,3
379,37420.0,1871.00,3
380,37420.0,1871.00,3
381,37420.0,1871.00,3
382,37420.0,1871.00,3
383,37420.0,1871.00,3
384,37420.0,1871.00,3
385,37420.0,1871.00,3
386,37420.0,1871.00,3
387,37420.0,1871.00,3
388,37420.0,1871.00,3
389,37420.0,1871.00,3
390,37420.0,1871.00,3
391,37420.0,1871.00,3
392,37420.0,1871.00,3
393,37420.0,1871.00,3
394,37420.0,1871.00,3
395,37420.0,1871.00,3
396,37420.0,1871.00,3
397,37420.0,1871.00,3
398,37420.0,1871.00,3
399,37420.0,1871.00,3
400,37420.0,1871.00,3
401,37420.0,1871.00,3
402,37420.0,1871.00,3
403,37420.0,1871.00,3
404,37420.0,1871.00,3
405,37420.0,1871.00,3
406,37420.0,1871.00,3
407,37420.0,1871.00,3
408,37420.0,1871.00,3
409,37420.0,1871.00,3
410,37420.0,1871.00,3
411,37420.0,1871.00,3
412,37420.0,1871.00,3
413,37420.0,1871.00,3
414,37420.0,1871.00,3
415,37420.0,1871.00,3
416,37420.0,1871.00,3
417,37420.0,1871.00,3
418,37420.0,1871.00,3
419,37420.0,1871.00,3
420,37420.0,1871.00,3
421,37420.0,1871.00,3
422,37420.0,1871.00,3
423,37420.0,1871.00,3
424,37420.0,1871.00,3
425,37420.0,1871.00,3
426,37420.0,1871.00,3
427,37420.0,1871.00,3
428,37420.0,1871.00,3
429,37420.0,1871.00,3
430,37420.0,1871.00,3
431,37420.0,1871.00,3
432,37420.0,1871.00,3
433,37420.0,1871.00,3
434,37420.0,1871.00,3
435,37420.0,1871.00,3
436,37420.0,1871.00,3
437,37420.0,1871.00,3
438,37420.0,1871.00,3
439,37420.0,1871.00,3
440,37420.0,1871.00,3
441,37420.0,1871.00,3
442,37420.0,1871.00,3
443,37420.0,1871.00,3
444,37420.0,1871.00,3
445,37420.0,1871.00,3
446,37420.0,1871.00,3
447,37420.0,1871.00,3
448,37420.0,1871.00,3
449,37420.0,1871.00,3
450,37420.0,1871.00,3
451,37420.0,1871.00,3
452,37420.0,1871.00,3
453,37420.0,1871.00,3
454,37420.0,1871.00,3
455,37420.0,1871.00,3
456,37420.0,1871.00,3
457,37420.0,1871.00,3
458,37420.0,1871.00,3
459,37420.0,1871.00,3
460,37420.0,1871.00,3
461,37420.0,1871.00,3
462,37420.0,1871.00,3
463,37420.0,1871.00,3
464,37470.0,1873.50,3
465,37420.0,1871.00,3
466,37420.0,1871.00,3
467,37420.0,1871.00,3
468,37420.0,1871.00,3
469,37420.0,1871.00,3
470,37420.0,1871.00,3
471,37420.0,1871.00,3
472,37420.0,1871.00,3
473,37420.0,1871.00,3
474,37420.0,1871.00,3
475,37420.0,1871.00,3
476,37420.0,1871.00,3
477,37420.0,1871.00,3
478,37420.0,1871.00,3
479,37420.0,1871.00,3
480,37420.0,1871.00,3
481,37420.0,1871.00,3
482,37420.0,1871.00,3
483,37420.0,1871.00,3
484,37420.0,1871.00,3
485,37420.0,1871.00,3
486,37420.0,1871.00,3
487,37420.0,1871.00,3
488,37420.0,1871.00,3
489,37420.0,1871.00,3
490,37420.0,1871.00,3
491,37420.0,1871.00,3
492,37420.0,1871.00,3
493,37420.0,1871.00,3
494,37420.0,1871.00,3
495,37420.0,1871.00,3
496,37420.0,1871.00,3
497,37420.0,1871.00,3
498,37420.0,1871.00,3
499,37420.0,1871.00,3
500,37420.0,1871.00,3
501,37420.0,1871.00,3
502,37420.0,1871.00,3
503,37420.0,1871.00,3
504,37420.0,1871.00,3
505,37420.0,1871.00,3
506,37420.0,1871.00,3
507,37420.0,1871.00,3
508,37420.0,1871.00,3
509,37420.0,1871.00,3
510,37420.0,1871.00,3
511,37420.0,1871.00,3
512,37420.0,1871.00,3
513,37420.0,1871.00,3
514,37420.0,1871.00,3
515,37420.0,1871.00,3
516,37420.0,1871.00,3
517,37420.0,1871.00,3
518,37420.0,1871.00,3
519,37420.0,1871.00,3
520,37430.0,1871.50,3
521,66240.0,3312.00,3
522,37440.0,1872.00,3
523,37420.0,1871.00,3
524,37420.0,1871.00,3
525,37420.0,1871.00,3
526,37420.0,1871.00,3
527,37420.0,1871.00,3
528,37420.0,1871.00,3
529,37420.0,1871.00,3
530,37420.0,1871.00,3
531,37420.0,1871.00,3
532,37420.0,1871.00,3
533,37420.0,1871.00,3
534,37420.0,1871.00,3
535,37420.0,1871.00,3
536,37420.0,1871.00,3
537,37420.0,1871.00,3
538,37420.0,1871.00,3
539,37420.0,1871.00,3
540,37420.0,1871.00,3
